Date,FX_rate
,INRUSD=X
2020-04-01,0.013275804929435253
2020-04-02,0.01289158221334219
2020-04-03,0.01296344306319952
2020-04-06,0.013118194416165352
2020-04-07,0.01316397450864315
2020-04-08,0.013044611550867558
2020-04-09,0.013164997100830078
2020-04-10,0.013046314008533955
2020-04-13,0.013129131868481636
2020-04-14,0.01300220936536789
2020-04-15,0.013169851154088974
2020-04-16,0.012951270677149296
2020-04-17,0.01289158221334219
2020-04-20,0.013061651028692722
2020-04-21,0.012951690703630447
2020-04-22,0.012992176227271557
2020-04-23,0.013089004904031754
2020-04-24,0.013085151091217995
2020-04-27,0.013111057691276073
2020-04-28,0.013125719502568245
2020-04-29,0.013077879324555397
2020-04-30,0.01328753586858511
2020-05-01,0.013206549920141697
2020-05-04,0.013227425515651703
2020-05-05,0.013183915987610817
2020-05-06,0.013128528371453285
2020-05-07,0.013131752610206604
2020-05-08,0.013144058175384998
2020-05-11,0.013240648433566093
2020-05-12,0.01310444250702858
2020-05-13,0.01321353018283844
2020-05-14,0.013257992453873158
2020-05-15,0.013247665017843246
2020-05-18,0.013189132325351238
2020-05-19,0.013227496296167374
2020-05-20,0.01315789483487606
2020-05-21,0.013196093961596489
2020-05-22,0.013223140500485897
2020-05-25,0.013160492293536663
2020-05-26,0.013138878159224987
2020-05-27,0.013189132325351238
2020-05-28,0.013135426677763462
2020-05-29,0.0131648238748312
2020-06-01,0.013242717832326889
2020-06-02,0.013204805552959442
2020-06-03,0.013321645557880402
2020-06-04,0.013237143866717815
2020-06-05,0.013246630318462849
2020-06-08,0.01324192900210619
2020-06-09,0.013223140500485897
2020-06-10,0.013243313878774643
2020-06-11,0.013179571367800236
2020-06-12,0.013090718537569046
2020-06-15,0.013165378011763096
2020-06-16,0.013161704875528812
2020-06-17,0.01304546371102333
2020-06-18,0.013063357211649418
2020-06-19,0.013088936917483807
2020-06-22,0.013114393688738346
2020-06-23,0.013194386847317219
2020-06-24,0.01322614774107933
2020-06-25,0.01316309068351984
2020-06-26,0.013238053768873215
2020-06-29,0.013224050402641296
2020-06-30,0.013210040517151356
2020-07-01,0.013201320543885231
2020-07-02,0.013252949342131615
2020-07-03,0.013383118435740471
2020-07-06,0.013390591368079185
2020-07-07,0.013403460383415222
2020-07-08,0.013311147689819336
2020-07-09,0.013344026170670986
2020-07-10,0.013273162767291069
2020-07-13,0.013305215165019035
2020-07-14,0.013253810815513134
2020-07-15,0.013231889344751835
2020-07-16,0.013311165384948254
2020-07-17,0.01330238301306963
2020-07-20,0.013351616449654102
2020-07-21,0.013335111550986767
2020-07-22,0.013374348171055317
2020-07-23,0.013365410268306732
2020-07-24,0.01336767990142107
2020-07-27,0.013376171700656414
2020-07-28,0.013333333656191826
2020-07-29,0.013317353092133999
2020-07-30,0.013363409787416458
2020-07-31,0.013335111550986767
2020-08-03,0.013347962871193886
2020-08-04,0.013274922966957092
2020-08-05,0.013289036229252815
2020-08-06,0.013354307971894741
2020-08-07,0.013351170346140862
2020-08-10,0.01332892570644617
2020-08-11,0.013315579853951931
2020-08-12,0.013351134955883026
2020-08-13,0.013373971916735172
2020-08-14,0.013328002765774727
2020-08-17,0.013350635766983032
2020-08-18,0.013333333656191826
2020-08-19,0.013369877822697163
2020-08-20,0.013339239172637463
2020-08-21,0.013333351351320744
2020-08-24,0.013347250409424305
2020-08-25,0.013440859504044056
2020-08-26,0.013431382365524769
2020-08-27,0.013469809666275978
2020-08-28,0.013554819859564304
2020-08-31,0.013674596324563026
2020-09-01,0.013574047014117241
2020-09-02,0.01364815142005682
2020-09-03,0.013652157038450241
2020-09-04,0.013615093193948269
2020-09-07,0.013644370250403881
2020-09-08,0.013577732257544994
2020-09-09,0.013552560470998287
2020-09-10,0.013596192933619022
2020-09-11,0.013600391335785389
2020-09-14,0.013609404675662518
2020-09-15,0.013584188185632229
2020-09-16,0.013550135307013988
2020-09-17,0.013596064411103725
2020-09-18,0.013589983806014061
2020-09-21,0.013599003665149212
2020-09-22,0.013590686023235321
2020-09-23,0.013604886829853058
2020-09-24,0.01355410274118185
2020-09-25,0.013571761548519135
2020-09-28,0.01356864906847477
2020-09-29,0.013518081046640873
2020-09-30,0.013541878201067448
2020-10-01,0.013567600399255753
2020-10-02,0.013658029958605766
2020-10-05,0.013638396747410297
2020-10-06,0.013678337447345257
2020-10-07,0.01354738138616085
2020-10-08,0.01359757874161005
2020-10-09,0.013646194711327553
2020-10-12,0.01369585283100605
2020-10-13,0.013633116148412228
2020-10-14,0.013583265244960785
2020-10-15,0.013643271289765835
2020-10-16,0.013629362918436527
2020-10-19,0.013615853153169155
2020-10-20,0.01359157357364893
2020-10-21,0.013578193262219429
2020-10-22,0.013571965508162975
2020-10-23,0.013564839959144592
2020-10-26,0.013545932248234749
2020-10-27,0.013522924855351448
2020-10-28,0.013549217022955418
2020-10-29,0.013433637097477913
2020-10-30,0.013465474359691143
2020-11-02,0.013413726352155209
2020-11-03,0.013430606573820114
2020-11-04,0.01339484192430973
2020-11-05,0.013444474898278713
2020-11-06,0.013491634279489517
2020-11-09,0.013517203740775585
2020-11-10,0.013522065244615078
2020-11-11,0.01346228364855051
2020-11-12,0.013410218991339207
2020-11-13,0.013357376679778099
2020-11-16,0.013425035402178764
2020-11-17,0.01343759149312973
2020-11-18,0.013426478020846844
2020-11-19,0.013437248766422272
2020-11-20,0.013495349325239658
2020-11-23,0.013483921997249126
2020-11-24,0.013468937948346138
2020-11-25,0.013520675711333752
2020-11-26,0.013553827069699764
2020-11-27,0.013504608534276485
