Date,COUR,DSY.PA,COGN3.SA,UDMY,STRA,215200.KQ,UTI,APEI,601928.SS,ACAD.ST,BFAM,QSG,600757.SS,300654.SZ,AFYA,000526.SZ,003032.SZ,CAP.PA,300359.SZ,LRN,PSON.L,601858.SS,300338.SZ,RM.L,LINC,NAVNETEDUL.NS,LOPE,4323.T,OMG.L,ATGE,LAUR,YDUQ3.SA,Benchmark
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,46.37773111218273,-50.47175596130826,,-36.26024079463194,100.6514022329252,22.05263352141582,-26.0013112396277,39.636161298853054,-37.69039295778911,-26.232791920807074,,11.140063250499566,6.675811359912841,-36.9051378841171,-61.89878747020185,,59.50800882021863,1.6721048105079452,57.99483066283555,-9.728852169625391,-0.835126472030868,-0.7269787316173457,-9.313320581211771,15.92307369525616,5.7917611920248016,-6.947590460069454,61.02307626458325,21.00721800853833,-11.930784089375603,50.49801365116792,-41.0464819700028,0.9069796869524042
2022,-50.59574605073875,-1783.4516292278734,287.11636882606604,-45.00818988523502,-1500.95033747761,-694.7638867419483,-288.15075207283076,1137.9225581471733,-107.60583114011854,1012.5821919302703,1282.0724834998273,,62.39002777745736,-4.963683566318414,-15.762838902640928,803.522445917935,-23.685556290859022,-1782.8672089360434,31.747795283579705,-298.7092278345634,-368.10227672604213,-14.130448110092395,27.750786991622494,680.8933111121382,-342.1861876969356,169.91724217173413,-168.66088291422912,1111.858411186276,-317.7247729959659,-251.67660662996437,-447.7279981921652,1848.54223864216,0.6310047571705477
2023,-3275.379972632938,-69238.33809009884,23157.465075853695,-1828.2707598495356,-33666.859267575295,14815.905072812762,-25158.308587838692,-23305.657210019883,-1645.40728405345,26899.534384224757,64552.65460569019,,2075.518684807231,-440.02038498139734,-652.5330497477353,140926.21440019968,408.7977321049398,-52248.071564874954,-924.1294747636563,-27123.3303963755,-3482.5396244469334,-1786.62787620479,-46.64515228151619,13997.022883482006,-25459.479923335337,4240.455136064231,-4379.594241845718,74939.25701946992,-1956.5946807159182,-16876.512148845955,-22924.27098718307,267236.1648927169,0.8935016812644875
2024,180531.4424783741,1895349.5127543295,-1729031.536842605,78848.98863141432,-152361.39578628828,-526923.388513043,-2675621.9155451367,-2902097.8510259613,-57227.167666180525,615450.021225527,1202306.9592591103,48.271544893598836,67105.23307947996,5048.576678729993,17349.402318975728,-2405087.661418406,-13608.497485542397,988945.3918731377,5422.666395695435,-2062857.9799747993,-111647.2878343159,31063.728222921065,-343.0164429585239,835688.51447732,-1491154.5767120009,-13728.179385260819,-109723.40139357118,2732167.9547923286,93274.19548131387,-930126.2016371802,-788738.865753549,-18373354.210238416,0.9554375795737035
2025,-3727443.6364289243,17978639.41942047,-185435981.37244087,-371442.2941964206,1291186.4328937526,3390933.0880746767,-2363426.6833998505,-12992841.564813508,198996.52701358814,18493316.798728142,18762390.74245291,4204.9875111190295,-534429.8811722029,35155.6328105962,266795.80821720074,-34717482.77562029,268777.3530424611,-8114387.170284232,76430.0308902132,-46860995.03547739,115321.3627577208,-50330.99032344196,4880.38068679514,9992031.104324091,-1962444.1765162102,52993.319350764636,-727336.268268039,-35700303.510777265,54507.95026904023,-10953171.35136035,-10103532.43817664,-848505222.0372167,0.9392645268304578
Cumulative,-372744463.6428924,1797863841.9420469,-18543598237.244087,-37144329.41964206,129118543.28937526,339093208.8074677,-236342768.33998504,-1299284256.4813507,19899552.701358814,1849331579.8728142,1876238974.2452908,420398.75111190294,-53443088.11722029,3515463.28105962,26679480.821720075,-3471748377.562029,26877635.30424611,-811438817.0284232,7642903.0890213195,-4686099603.547739,11532036.27577208,-5033199.032344196,487938.068679514,999203010.4324092,-196244517.651621,5299231.935076464,-72733726.8268039,-3570030451.0777264,5450695.026904023,-1095317235.136035,-1010353343.8176639,-84850522303.72166,-6.07354731695422
Annualized,,1518.550078137694,,,943.5138439257161,1125.7066942712895,,,664.0843066384781,1526.181959584069,1530.1016983675815,301.77045462960973,,472.35815998897056,702.3492265088275,,703.339363923228,,551.44579666402,,597.6735449393693,,311.867110667638,1367.6042816869267,,512.8745016132118,,,515.7597582998844,,,,11.670769529853843
