Date,COUR,DSY.PA,COGN3.SA,UDMY,STRA,215200.KQ,UTI,APEI,601928.SS,ACAD.ST,BFAM,QSG,600757.SS,300654.SZ,AFYA,000526.SZ,003032.SZ,CAP.PA,300359.SZ,LRN,PSON.L,601858.SS,300338.SZ,RM.L,LINC,NAVNETEDUL.NS,LOPE,4323.T,OMG.L,ATGE,LAUR,YDUQ3.SA
2021-02-03,,33.374568939208984,4.739999771118164,,78.1278076171875,40968.63671875,6.309999942779541,28.950000762939453,4.869418144226074,76.18190002441406,163.1300048828125,,4.095892429351807,4.606027603149414,22.625730514526367,43.810001373291016,28.438249588012695,116.9441146850586,5.619999885559082,27.719999313354492,749.7542114257812,8.533799171447754,5.570000171661377,209.91278076171875,6.0,77.15090942382812,88.18000030517578,365.6852722167969,90.39107513427734,39.15999984741211,6.527353286743164,32.60054397583008
2021-02-04,,35.39667892456055,4.619999885559082,,79.16456604003906,40738.734375,6.440000057220459,29.600000381469727,4.949244499206543,76.18190002441406,166.8300018310547,,4.0070271492004395,4.441324234008789,23.464818954467773,44.880001068115234,29.11558723449707,118.82122039794922,5.46999979019165,27.229999542236328,736.1695556640625,8.359077453613281,5.789999961853027,207.4138031005859,6.130000114440918,76.8708724975586,89.36000061035156,360.0520935058594,90.39107513427734,39.540000915527344,6.513396263122559,31.662059783935547
2021-02-05,,35.86785125732422,4.630000114440918,,79.43695831298828,40738.734375,6.300000190734863,29.86000061035156,4.853453159332275,73.9927749633789,171.1300048828125,,4.023184776306152,4.401567459106445,24.53095245361328,47.369998931884766,27.770872116088867,120.36984252929688,5.46999979019165,27.219999313354492,722.7846069335938,8.101591110229492,5.619999885559082,208.9131774902344,6.21999979019165,76.77752685546875,94.08999633789062,364.7464294433594,90.39107513427734,39.5,6.504090785980225,31.699975967407227
2021-02-08,,36.90835189819336,4.46999979019165,,82.84606170654297,41106.578125,6.389999866485596,30.989999771118164,4.837487697601318,71.978759765625,172.60000610351562,,4.055499076843262,4.447003364562988,23.474689483642575,46.43000030517578,26.695098876953125,123.37322235107422,5.730000019073486,27.690000534057617,721.785888671875,8.248726844787598,5.349999904632568,210.912353515625,6.110000133514404,76.8241958618164,96.2699966430664,369.2059631347656,90.39107513427734,41.540000915527344,6.759974479675293,31.6241397857666
2021-02-09,,37.10467147827149,4.420000076293945,,82.7230453491211,41842.265625,6.269999980926514,31.020000457763672,4.853453159332275,72.24147033691406,173.4499969482422,,4.087813854217529,4.515155792236328,23.55366325378418,46.47999954223633,26.95408058166504,124.78105926513672,5.630000114440918,28.15999984741211,732.174072265625,8.478623390197754,5.769999980926514,206.91400146484375,6.059999942779541,76.59083557128906,99.87000274658205,372.9613952636719,90.39107513427734,41.29999923706055,6.7692790031433105,31.131200790405273
2021-02-10,,37.11448669433594,4.239999771118164,,83.68074035644531,45060.90625,6.25,30.6200008392334,4.893366813659668,71.27825164794922,174.32000732421875,,4.07973575592041,4.56627082824707,23.385845184326172,46.56999969482422,25.380266189575195,125.01568603515624,5.670000076293945,28.56999969482422,739.1661376953125,8.441840171813965,5.659999847412109,207.91360473632812,5.869999885559082,75.47066497802734,100.29000091552734,370.6142883300781,90.39107513427734,41.09000015258789,6.755322456359863,30.33490562438965
2021-02-11,,37.173377990722656,4.230000019073486,,84.54180908203125,,6.420000076293945,31.11000061035156,,72.67929077148438,172.72999572753906,,,,23.326614379882812,,,126.7051010131836,,28.450000762939453,747.756591796875,,,207.4138031005859,5.829999923706055,76.63749694824219,102.18000030517578,,90.39107513427734,40.79999923706055,6.804172992706299,31.37766456604004
2021-02-12,,37.35007095336914,4.190000057220459,,82.95149230957031,,6.550000190734863,31.38999938964844,,72.67929077148438,178.17999267578125,,,,23.33648681640625,,,126.9866714477539,,28.270000457763672,762.5399169921875,,,208.9131774902344,6.190000057220459,77.19758605957031,106.58000183105467,361.9298400878906,89.89167022705078,40.65999984741211,6.773931503295898,31.055355072021484
2021-02-15,,36.898529052734375,,,,44279.23828125,,,,72.59172821044922,,,,,,,,128.86380004882812,,,776.5240478515625,,,215.9102783203125,,78.13105010986328,,359.1132507324219,90.89047241210938,,,
2021-02-16,,37.13411712646485,,,81.81806182861328,48187.58203125,6.699999809265137,29.690000534057617,,73.55493927001953,181.69000244140625,,,,23.346357345581055,,,128.72299194335938,,27.3700008392334,776.923583984375,,,215.9102783203125,6.0,78.64445495605469,105.12000274658205,365.6852722167969,90.89047241210938,38.95000076293945,6.722755432128906,
