Date,COUR,DSY.PA,COGN3.SA,UDMY,STRA,215200.KQ,UTI,APEI,601928.SS,ACAD.ST,BFAM,QSG,600757.SS,300654.SZ,AFYA,000526.SZ,003032.SZ,CAP.PA,300359.SZ,LRN,PSON.L,601858.SS,300338.SZ,RM.L,LINC,NAVNETEDUL.NS,LOPE,4323.T,OMG.L,ATGE,LAUR,YDUQ3.SA
2020-04-01,,28.535553724321517,0.7437302066992258,,106.59699249267578,26.460836988826628,5.840000152587891,22.84000015258789,0.6932071745332138,4.177552755849117,93.0,,0.5756959805855644,0.760008884967796,17.719541549682617,5.508797360711412,,75.0901874266765,0.7611488930093273,17.850000381469727,656.1028819664789,1.1855328115669437,1.1494902419089357,173.64667225342782,2.2200000286102295,0.7701940930102649,72.94000244140625,2.497613548292956,105.32623255927138,26.200000762939453,4.745474815368652,3.8801312806797337
2020-04-02,,26.902132320056808,0.6973819821703309,,103.25935363769533,26.40224991957699,5.699999809265137,21.88999938964844,0.6979316356943954,4.020325053179331,96.0199966430664,,0.5786280395674481,0.7855597777487588,18.68695831298828,5.621681197100941,,71.22949626189074,0.7775414738014419,20.469999313354492,649.2800972303958,1.2003262444050478,1.1550434708149027,160.9039007063293,2.2799999713897705,,71.5,2.5231534968049925,106.95930489929015,24.969999313354492,4.564030170440674,3.6556156566945206
2020-04-03,,25.168244996169506,0.707856813748858,,100.87285614013672,26.97610510762009,5.5,21.040000915527344,0.6973557033163971,4.204132141915579,91.0999984741211,,0.5733529307943144,0.7842864598588051,17.86761474609375,5.586458110491208,,67.7493042623828,0.7708380523535396,20.739999771118164,591.5073986288917,1.190324021362727,1.147786338839765,163.54542150067573,2.299999952316284,0.7375513901441183,71.26000213623047,2.3688564968306176,108.30579838126141,23.56999969482422,4.29884147644043,3.723265056459638
2020-04-06,,25.855674291578225,0.7852668733418823,,109.7530517578125,28.96989274973509,5.5,22.510000228881836,,4.1851110898481325,97.5,,,,18.923877716064453,,,69.63597297631986,,21.75,584.2643236266158,,,164.90359632045147,2.25,,73.25,2.6172249796891576,106.77846500512533,25.229999542236328,4.615207195281982,3.8636582513593676
2020-04-07,,25.679262131179485,0.8476340234604647,,110.0211181640625,29.418166647138353,5.389999866485596,21.88999938964844,0.7084384285159757,4.2444452382376,102.87000274658205,,0.5825721237102428,0.804778189028454,21.144989013671875,5.688660861611709,,75.33201372400617,0.7967509739475602,21.790000915527344,609.443586911806,1.2309276438338514,1.1380141607218093,176.19000775690074,2.3299999237060547,0.7747655630304676,73.19999694824219,2.6952968156382346,113.67918573536461,25.059999465942383,4.95948600769043,4.665072861765479
2020-04-08,,27.290705946095386,0.8809390898696418,,113.3674087524414,29.309920900560797,5.75,22.6299991607666,0.7185498929384835,4.486690716966789,111.37999725341795,,0.5864174430198972,0.8150110006241391,20.908071517944336,5.641040389971408,,77.76282521773282,0.8091073927738819,23.239999771118164,626.0388373325695,1.2326523363495596,1.11855553701767,194.870036312921,2.4000000953674316,0.7847878138293539,75.47000122070312,2.760813651984655,115.20699219660129,26.219999313354492,4.610554218292236,4.8911682211185035
2020-04-09,,27.76372491712209,0.8939201486212482,,116.60990142822266,28.803775746782293,6.320000171661377,22.700000762939453,0.7208415875882109,4.489235950569533,117.04000091552734,,0.5869515138540463,0.8139189527357756,20.424362182617188,5.909496188163756,,81.39693396551593,0.8294526575243707,22.299999237060547,646.1298908827812,1.2508436981970588,1.1436821257366316,235.99063079410007,2.3399999141693115,0.8061629244657477,76.30000305175781,2.6591300679243086,127.47242403359178,26.540000915527344,4.8338704109191895,4.9122753790282445
2020-04-10,,,,,,28.481219876781214,,,0.716640223662473,,,,0.5789005624765051,0.7919292633317664,,5.708443425155505,,,0.8094061148522226,,,1.2241440680281097,1.2623896280185103,,,,,2.566356139960399,,,,
2020-04-13,,,0.9538732207676754,,120.10321044921876,27.514435494380127,6.139999866485596,22.88999938964844,0.7097435840991646,,116.58999633789062,,0.5717437143650269,0.7582353043079872,19.33848571777344,5.594803548786555,,,0.7917443151400003,23.0,,1.1920532321840647,1.2480277668352777,,2.4000000953674316,0.8070305232021133,75.80000305175781,2.465525148202191,,26.229999542236328,4.708254814147949,4.7929142281795105
2020-04-14,,27.840657836813072,0.9541213442750234,,130.17666625976562,28.19249274230879,5.989999771118164,24.079999923706055,0.7135130090033499,4.474997810163753,119.72000122070312,,0.581438798887632,0.7865720950667878,19.131179809570312,5.798683928122955,,82.85187846494226,0.8139996311332425,21.719999313354492,673.9661627695023,1.2097244347211245,1.2209994466998637,239.1081211677447,2.390000104904175,,78.2699966430664,2.5930851435267783,130.0689074112233,26.8799991607666,4.861784934997559,4.862882068214276
2020-04-15,,28.182137678022627,1.0170475915074346,,125.1355972290039,,5.789999961853027,24.690000534057617,0.7116740170473292,4.330357774680919,115.33999633789062,,0.5750881043360891,0.7586598281006047,18.242734909057617,5.880850986602354,,78.26466766350131,0.8058680815333616,22.920000076293945,637.8561602929476,1.2090115415170999,1.1818452923533869,233.48883938696963,2.390000104904175,0.8089189609148616,75.1500015258789,2.620991004796704,131.7619102171875,26.11000061035156,4.480286598205566,5.050475588686822
